Hindi,English
lagbhag,About
ise,This
lākh,Lakh
bāre,About
honā,Happen
isse,From this
mātrā,amount
adhyayan,Study
vālā,Wave
jismẽ,In which
nīce,Below
arth,Meaning
lok,Folk
āvaśyak,Necessary
ho,yes
mā̃,Mother
choṭe,Small
pratiśat,Percent
śurū,Start
agar,If
itnā,This much
āyā,Came
hogī,Will be
mil,Mill
svayã,Self
rāt,Night
binā,Without
hamẽ,Us
upyog,Use
kie,Done
mahatvapūrṇ,Important
mukhya,main
sāl,Year
jyādā,More
sāhitya,Literature
pūrv,East
nirmāṇ,Construction
viṣay,Subject
jisse,By which
dekh,See
citra,Picture
lagī,Lagged
pratyek,Everyone
manuṣya,man
gaī,Went
spaṣṭ,clear
dinõ,Days
raṅg,Colour
iskī,his
star,level
merā,My
dūsrī,Second
acchā,Good
rog,Disease
kāl,period
acchī,Good
vijñān,Science
bhāī,Brother
jñān,Knowledge
dillī,Delhi
banāne,Make
rupye,Rupees
rakhā,kept
āvaśyaktā,Need
ātā,Comes
kaun,Who
hõ,Ho
ārthik,Economic
sahāytā,Help
atirikt,Excessive
der,Late
taraph,Side
lene,Take
calā,walked
sāmājik,Social
samajh,Understanding
magar,But
āte,Come
bacce,Children
kalā,Art
patra,Letter
bhītar,Inner
sanskŕti,Culture
unmẽ,In those
varg,Social class
vibhāg,Department
cāhtā,Want
sir,Head
batāyā,told
jagah,Place
vahī,Same
itnī,So much
sthāpit,Established
rāṣṭrīya,National
svar,Vocal
kṣetrõ,Areas
jiske,Whose
janma,Birth
jāe,Go
daurān,during
gāndhī,Gandhi
hā̃,Yes
jantā,public
kis,What
kendra,Center
sāhab,Sir
pūrṇ,full
pulis,Police
bolā,spoke
thaīā,Thiaia
kamī,Shortage
samasyā,Problem
kāryakram,Program
vivāh,Marriage
bhūmi,land
bhāv,expressions
dekhkar,after seeing
karoṛ,Ten million
pratham,First
mūl,Original
parivartan,Change
baccõ,Children
lābh,Benefit
pradān,Grant
āye,Come
choṭī,Small
strī,Woman
sevā,Service
vyavhār,Behaviour
rām,Ram
racnā,Composition
kī,of
bhinn,Different
miṭṭī,Soil
deśõ,Countries
inke,Their
ātī,Come
sahī,Correct
uplabdh,Available
balki,Rather
prāy,At the time
bijlī,Electricity
lete,Take
jān,Life
baṛh,Enhancement
sāre,all
śāyad,Perhaps
sarkārī,Government
paṛ,Fall
cukā,Reproach
paṛā,Lying
vidhi,Method
choṛ,leave
likhā,wrote
jabki,Whereas
sirph,Only
darśan,Visit
prakriyā,Process
dikhāī,Visible
kul,Total
śabdõ,Words
lāl,Red
nikal,Out
naye,New
rakhne,Keep
pañjāb,Punjab
nadī,River
gae,Went
mŕtyu,Death
svīkār,Accept
antarikṣ,Space
ākar,Size
yād,Memory
uṭhā,picking
dūdh,Milk
kāṅgres,Congress
sārī,all
mādhyam,Channel
dūsrā,Second
sambandh,relationship
jin,Gin
cāhe,whether
cāhte,Want
praṇālī,System
tabhī,Only
hoṅge,Will be
inmẽ,In
san,Sun
mān,Value
putra,Son
uddeśya,Objective
viśvās,faith
pichle,last
tāki,So that
niścit,Fixed
jiskā,Whose
jānkārī,Information
netā,Leader
bālak,Boy
ant,End
ucit,Appropriate
saṅgīt,music
jaldī,Quick
kṣamtā,Capacity
hajār,Thousand
jāegā,Will go
banāyā,Make
pati,Husband
kośiś,Effort
cuke,Sailed
khāne,Eating
phasal,Crop
prakŕti,Nature
paudhõ,Plants
prakaṭ,Revealed
pakṣ,Party
nīti,Policy
yadyapi,Although
mātra,Only
bhārī,Heavy
pustakālay,Library
cale,Let's go
samiti,Committee
sāmagrī,Material
cāhiye,Want
antargat,Under
māl,Goods
śāmil,Involved
bolī,Languages
unse,With them
apekṣā,Expectation
hetu,For
nagar,City
diye,Lamp
sambandhī,Related
pustak,Book
khud,Self
varṇan,Description
bane,Made up
jor,Loser
karẽ,Do
jinmẽ,In which
lakṣaṇ,symptoms
nāmak,Nominated
vahī̃,There itself
tumhāre,Your
viśva,World
śāsan,Government
vaise,By the way
yug,Era
baiṭh,Seated
sthāpnā,Establishment
arthāt,In other words
sārā,All
letā,Take
lagtī,Looks like
śailī,Style
lẽ,Take
pārṭī,Party
gīt,Song
avsar,opportunity
yuddh,war
mālūm,Known
cārõ,All four
prakāś,Light
jāyegā,will go
baiṭhe,Seated
tumhẽ,You
samāpt,End
jāy,Go
sāph,Clean
dhārmik,Religious
tāp,Heat
ullekh,Mention
vartamān,present
lenā,Take
thoṛī,Slightly
inkā,Their
viksit,advanced
band,Off
prasiddh,Famous
viśiṣṭ,Specific
prem,Love
calī,Sustainable
rakhte,Keep
bhāvnā,Emotion
caltā,On
siddh,Proven
vālõ,People
citrõ,Images
puruṣ,Male
padārth,Substance
carcā,Discussion
khānā,Eat
ucc,High
itne,So much
dī,Gave
die,Given
sīmā,Limit
vastu,object
paṛī,Lying
gati,motion
atyant,Extremely
saṅgṭhan,Organization
kitnā,How much
istemāl,Use
bābā,Dad
prakāśit,Published
ḍhaṅg,behaviour
adhikār,rights
udhar,There
paṛe,Lying
sake,Sustain
sūcnā,Information
aṅgrejī,English
sundar,Beautiful
punaḥ,Again
kendrīya,Central
ādhunik,Modern
śahar,City
pradhānmantrī,Prime Minister
brāhmaṇ,Brahmin
unko,For them
mahīne,Month
acche,Good
havā,Air
śām,Evening
idhar,here
sansār,World
virodh,Oppose
rakhnā,Keep
praśikṣaṇ,Training
saṅgh,union
banī,Bunny
pŕthvī,Earth
ūrjā,energy
hamne,We
vāstavik,Real
sahyog,Collaboration
tel,Oil
avdhi,Duration
sāt,Seven
lagte,Felt
mārg,route
band,Close
praclit,prevalent
saṅgharṣ,Conflict
diśā,Direction
sthit,Located
baiṭhā,sat
varṣõ,Years
adhikāñś,majority of
śādī,Marriage
vātāvraṇ,environment
tulnā,Compare
rājīv,Rajeev
sādhāraṇ,ordinary
sampūrṇ,total
rājasthān,Rajasthan
saphal,Success
kitne,How many?
vāpas,Back
mānsik,Mental
paramparā,Tradition
bole,Speak
bīj,Seed
khel,game
aṅg,Organ
baiṭhak,meeting
jarūrat,Need
grāmīṇ,Rural
inkī,Their
kathā,Story
āyu,age
bātcīt,Conversation
prabhāvit,Affected
nirdhārit,Determined
nikāl,Out
ghaṭnā,Event
kitnī,How many
kavi,Poet
rakt,blood
bālkõ,Boys
kisān,Farmer
icchā,Desire
āyī,Come
baje,time
cehre,Face
guṇ,Property
ākār,size
hŕday,Heart
rāj,Rule
mār,Kill
cukī,Tailor
yātrā,Travel
naṣṭ,Destroyed
khetī,Farming
subah,Morning
nayī,New
jinhẽ,Whom
ārambh,Launch
sunkar,Hearing
vāyu,Air
najar,vision
thoṛā,Little
khālī,Empty
om,ॐ
khoj,Search
ekdam,At once
vyaktiyõ,Individuals
rājnītik,Political
ā̃khẽ,eyes
sambandhit,Connected
tej,Quick
jarā,just
vyaktitva,Persona
badal,change
savāl,Question
upbhoktā,Consumer
upaj,Yield
sukh,Happiness
mānte,Believe
makān,House
tejī,Rapid
julāī,july
prayatna,try
devtā,God
jānte,Know
kapṛe,Clothes
sambhav,possible
saktā,Can
madad,Help
vāstav,really
nikaṭ,Close
calte,Go
bākī,Balance
soc,Thinking
samast,All
sadasya,Member
kaṭhin,Difficult
are,Oho
rājyõ,States
nayā,New
sīdhe,Straight
phūl,Flower
kisma,Variety
abhāv,Lack
jarūrī,Necessary
senā,Army
śram,Labor
videśī,Foreigner
bāl,Hair
purāne,Old
kintu,But
vistār,Expansion
jāegī,Will go
choṭā,Small
vanaspati,Vegetable
kharc,Expenditure
pār,Cross
adhikārī,Officer
calne,Walking
āśā,Hope
sudhār,Improvement
viśāl,Huge
pūrti,Supply
ḍāl,Branch
jāntā,knows
mahsūs,Feel
bol,Lyrics
pratīt,Appear
adhyakṣ,chairman
sīkhne,Learn
varṇ,Character
vyāpak,Comprehensive
bhaviṣya,Future
dhvani,Sound
prayukt,Used
pracār,Publicity
pyār,Love
śikṣaṇ,Teaching
śeṣ,Remanent
mārc,march
duniyā,World
khyāl,Care
pragti,Progress
gais,Gas
lagātār,Continuous
taur,Form
unhī̃,They
surakṣit,Safe
sabhā,gathering
lauṭ,Back
lāgat,Cost
banāye,Made
dard,Pain
ākhir,Finally
socā,thought
dẽ,Give
cīj,Thing
kalpanā,Imagination
lakṣya,Target
cāy,Tea
khūb,Plenty
śrīmtī,Mrs
lāne,Bring
mukt,Free
buddhi,Intelligence
paścim,West
khet,Farm
honī,Having
cāhtī,Want
upyukt,Suitable
ant,Ending
sādhan,Resource
saṅket,Signal
vastuõ,Objects
māmle,Case
banākar,By making
sahaj,Simple
sadā,Always
śārīrik,physical
pakaṛ,grasp
upāy,remedy
sansthān,Institute
saphaltā,Success
bābū,Baboo
tumhārī,yours
bhūl,Mistake
ātmā,Soul
vicārõ,Ideas
rakhī,Laid
bhūmikā,Role
pair,Feet
kare,Do
hāthõ,Hand
bhavan,Building
niyam,Rule
dil,Heart
taknīkī,technology
jiskī,Whose
śiśu,Infant
vyay,Expense
peṭ,stomach
nīnd,Sleep
netāõ,Leaders
andar,Inside
lāgū,Applicable
banne,Form
tvacā,skin
gāyan,Singing
rājnīti,Politics
jamā,Deposit
suvidhā,Facility
borḍ,Board
kānūn,Law
śuru,Start
lekhak,Author
bāvjūd,Despite
kram,Order
lagne,Settling
tumne,you have
hāl,Condition
sambhav,Probable
sṭeśan,station
agle,Next
rāste,Gesture
mastiṣk,Brain
garm,warm
sambandhī,relative
yānī,i.e
purānī,Old
citraṇ,Illustration
adhikāriyõ,Officers
sanskŕt,Sanskrit
sun,Listen
yuvak,young boy
pāṭh,"Lesson,"
sthānõ,Places
varṣā,Rain
rakhkar,By keeping
paśu,Animal
kisānõ,Farmers
sattā,Power
prāpti,Receipt
davā,Medicine
khās,Special
kameṭī,Committee
aṅk,score
hāni,Loss
saral,Easy
siñcāī,Irrigation
śikār,Hunt
vŕkṣ,Tree
kareṅge,do
audyogik,Industrial
ādhārit,based
hatyā,the killing
sahkārī,Co -operative
vivraṇ,Description
roj,Daily
mujhse,Me
ānā,come
mausam,Season
ā̃khõ,Eyes
śuddh,Pure
bhed,distinction
viprīt,Adverse
lambī,Long
banānā,Make
dŕṣṭikoṇ,Approach
galat,Wrong
samarthan,Support
sammelan,conference
sacmuc,Really
buddh,Buddha
baccā,Child
dīvār,Wall
āṅkhõ,Eyes
adhyāy,Chapter
atyadhik,Excessive
sahit,Including
yog,sum
mukh,Face
bihār,Bihar
kāvya,Poetry
siddhānt,Principle
sārvajnik,Public
laghu,Small
batā,Tell
paraspar,mutual
tār,Wire
cūrṇ,Powder
āyojan,events
sānskŕtik,Cultural
samajhne,Understand
vādya,Instrument
pratīk,Sign
tumhārā,yours
chātra,Student
cup,Silent
aksar,Often
jāyegī,Will go
rakhe,Keep
bhār,Burden
phalõ,Fruit
jīvit,alive
ājkal,Nowadays
vistŕt,Detailed
gir,Gir
gurū,Guru
khādya,Food
utar,North
amerikā,America
sunā,heard
sthānīya,local
viṣyõ,Subjects
ghaṇṭe,hours
karāne,Conduct
utnā,As much as
śatābdī,Century
vyavsāy,Business
mandir,Temple
paricay,Introduction
gāmvõ,Villages
bāndh,dam
niścay,Determination
upakraṇ,equipment
ātaṅkvādiyõ,Militant
vaidik,Vedic
bhāgõ,Parts
añś,Part
sūtra,Formula
vividh,various
bārah,Twelve
phalasvarūp,Consequently
kāṭ,cutting
adhiktar,mostly
svābhāvik,Natural
vākya,Sentence
baiṭhī,Sitting
paristhitiyõ,Circumstances
sūrya,Sun
śatru,enemy
pattiyõ,Leaves
niyojan,Planning
granth,Book
kahī,Somewhere
umra,Age
agni,Fire
sikh,Sikh
bāp,Father
pākistān,Pakistan
paścāt,Back
cintā,Fanciful
āyojit,Held
yahī̃,Right here
vādyõ,Instruments
musalmān,Muslim
bhej,Sending
ba͠ik,Bank
nārī,Woman
antim,Last
samudra,Sea
saṅgrah,Collection
letī,Take
dŕśya,Scene
khād,Fertilizer
ālocnā,Criticism
haikṭar,Hectare
virodhī,anti
paścimī,Western
dhān,Rice
ḍāk,Post
kadam,step
ākāś,Sky
sthāyī,Permanent
vitraṇ,Distribution
vañś,Linage
rok,Stoppage
prerṇā,Inspiration
cīnī,Sugar
aurat,women
aprail,april
anivārya,Mandatory
sakẽ,Can
mahilā,Woman
pahcān,Identification
kramśaḥ,Respectively
sainik,Soldier
vajah,Reason
lakṛī,Wood
rupye,Rupees
baṛhā,Raised
pīṭh,Back
pāī,Pie
ḍākṭar,Doctor
sampark,Contact
vī̃,Gentleman
mānnīya,Honorable
mūlyāṅkan,Evaluation
gāy,Cow
kṣaṇ,Moment
hālat,Condition
sandarbh,Reference
bīs,Twenty
doṣ,Shortcoming
jīv,creatures
citrit,Painted
khān,Mine
khuśī,Happiness
rojgār,employment
riporṭ,Report
mantrālay,Ministry
prāthmik,primary
pradarśit,Displayed
dhārṇā,perception
tāl,rythm
jaṅgal,Forest
sakā,could
yān,Vault
upakram,Enterprise
aṅkit,Ankit
śiv,Shiva
tyāg,Sacrifice
jisne,Whosoever
garam,Hot
samācār,news
śākhā,branch
burī,Bad
ḍālā,Pouring
jūn,june
jñāt,Known
garbh,Pregnancy
karmacāriyõ,Employees
māmlõ,Matters
bajāy,instead
tarīke,Manner
ādarś,Ideal
hissā,Part
sanracnā,structure
sparś,Touch
janavrī,January
citraklā,drawing
caritra,Character
kṣetrīya,Regional
kyū,Why
rakhtā,Keeps
bikrī,Sales
pustakõ,Books
nirmit,made
jain,Jain
gale,Throat
grā,Gram
kharāb,Bad
karo,do it
kakṣā,Class
āścarya,Wonder
rāstā,way
yukt,Rich
banāe,Make
beṭā,Son
beṭe,Son
prabandh,Managing
nimnalikhit,Following
cehrā,face
arjun,Arjuna
sammān,Respect
yathārth,Reality
bahū,Daughter in law
dhvaniyõ,Sounds
jinhõne,Who
chāyā,Shadow
khabar,News
saṅkaṭ,crisis
beṭī,Daughter
paśuõ,Animals
ati,Extreme
samajhtā,Understand
rokne,Stop
bhakti,Devotion
daśā,Condition
caltī,On the moving
ghās,Grass
kathan,statement
sāmān,stuff
majdūrī,Labour
bharī,Stuffed
bilkul,Absolutely
dūsrõ,Others
garīb,Poor
astitva,Existence
akele,Lonely
saundarya,Beauty
sāhsī,Daring
samajhte,Understand
vidyut,Electricity
likhī,Written
nāṭak,Drama
dhūp,Sunlight
darvāje,Doors
kamjor,Weak
ādat,Habit
sampradāy,Sect
śodh,Research
vīr,Daring
rupyā,Rupee
maut,Death
bhale,Good
prasann,Happy
nijī,Personal
jātiyõ,Castes
gītõ,Songs
kīṭ,Insect
utnī,So much
abhyās,Practice
raṅgõ,Colors
mānyatā,Recognition
majbūt,Strong
bhīṛ,Crowd
niymõ,Regulations
uṭhtā,Arms
ānand,Joy
viṣ,Poison
pra,Soul
tamām,All
cinha,Sign
sthir,steady
śarāb,Liquor
vaijñānikõ,Scientists
pahuñcā,reached up
niymit,Regular
navīn,New
gahrī,Deep
ūṣmā,Heat
uttam,Excellent
śāstra,ethology
māh,Month
mālik,Owner
bhalā,Good
bhare,Stuffed
banāī,Made up
garībī,poverty
āndolan,Movement
vidyā,Knowledge
pārivārik,Family
toṛ,the break
cījẽ,Things
kaṭhor,Harsh
anupāt,Ratio
hariyāṇā,Haryana
sampann,Rich
vidhān,Legislation
rāy,Opinion
turant,Immediately
āpas,Utterance
adhīn,under
śikṣak,Teacher
vijay,Victory
lekh,Article
mahoday,Sir
bhī,Too
pharavrī,February
pitt,Bile
pratyakṣ,direct
tark,logic
jel,Jail
cupcāp,silent
karā,Kara
anukūl,Friendly
viṣṇu,Vishnu
yõ,Like
bhūkh,hunger
bāns,bamboo
bantā,Fabrication
bankar,be made
baiṭhkar,Seated
pātra,character
pūrvī,East
kaṭhināī,Difficulty
ityādi,And so on
sadasyõ,Members
mūtra,Urine
bharā,full
burā,bad
ghoṣṇā,Announcement
khol,Shell
khuś,Happy
khetõ,Fields
koś,Thesaurus
upasthit,Present
abhivyakti,Expression
śreṣṭh,Best
nāg,snake
nāk,nose
jātā,go
chūṭ,Discount
gharõ,Houses
khūn,Blood
karegā,Will do
utār,Unloaded
aprādh,Crime
adhiniyam,Act
sāhas,Bravery
sarvapratham,the very first
paṛhāī,studies
dikhāyī,Visible
dukh,Sadness
agast,august
sāthī,partner
sakriya,Active
paṛhne,Reading
paṛh,Read
cālū,Working
ādhā,half
samitiyõ,Committees
sūcī,List
vivecan,Deliberation
manovijñān,Psychology
pahuñce,Reached
pustakẽ,Books
kiśorī,teenager
ispāt,steel
sāmnā,Cope
vyākhyā,Explanation
phuṭ,Foot
dimāg,Brain
karmacārī,Employee
asar,Impact
aphsar,Officer
satah,surface
vicitra,Weird
bail,Bull
tahat,Under
kendrõ,Centers
amla,Acid
sanrakṣaṇ,Protection
sunne,Listen
vāṇī,Voice
lohe,Iron
yantra,Machine
bhāṣāvijñān,language science
bolne,Speaking
bodh,Perception
prakāśan,Publication
dādā,Grandfather
ṭūṭ,break
carak,Charak
khāte,Account
kān,Ear
udyogõ,Industries
ākramaṇ,Invasion
aṅgrejõ,British
sambhāvnā,Possibility
yathā,As
bhejā,Sent
banāte,Create
nareś,Naresh
do,Two
corī,Theft
citrakār,Painter
kahe,saying
svatantra,Independent
sūraj,Sun
sūkṣma,Micro
viśeṣtā,Speciality
likh,Write
mās,Mass
pañcāyat,jury
caraṇ,phase
galī,Street
khule,Open
kursī,Chair
sandarbh,Reference
strot,Source
vargīkraṇ,Classification
mahābhārat,Mahabharata
phail,Spreading
peś,Present
praudyogikī,Technology
purāṇ,Purana
nirdhāraṇ,Determination
cīn,China
śikāyat,Complaint
vidyālay,School
vastutaḥ,Virtually
lāyā,brought
bahan,Sister
pakṣī,Bird
niryāt,Export
nā,No
jāye,Go
jyõ,As
cakkar,dizzy
golī,Gun Shot
kalyāṇ,welfare
krodh,Anger
karāyā,Done
iṅkā,Inka
sīdhā,Straight
sañcār,Communications
viruddh,against
vidvānõ,Scholars
lambe,Long
bhugtān,Payment
tujhe,You
cayan,Selection
ghoṛe,Horses
uccāraṇ,Pronunciation
sone,Gold
maukā,Opportunity
moṭe,fatty
bhāṣaṇ,speech
niklā,Out
devtāõ,Gods
utpatti,Produce
śahrī,urban
śakti,Power
rāṣṭrapti,President
mahārāj,Maharaj
mandir,Mandir
indra,Indra
apekṣit,expected
antargat,Under
ajīb,Strange
sanskār,rites
samādhān,Solution
śūl,Shool
likhe,Wrote
rahegā,Will be
rameś,Ramesh
jaṛ,Root
adhigam,Learning
sarvādhik,Most
māntā,agrees
mantrī,Minister
bāṛh,flood
bajaṭ,Budget
nuksān,Loss
thoṛe,A little
jāl,Net
jānne,Learn
kampanī,Company
kakṣ,Chamber
upkarṇõ,Devices
utpann,Yield
uṭhkar,By getting up
isko,It
sāmrājya,Empire
sañśodhan,Amendment
rājāõ,Kings
pasand,Paste
chātrõ,Students
gahrā,deep
kilogrām,Kilogram
kālej,College
ullekhnīya,Remarkable
uplabdhi,achievement
utsāh,Excitement
majdūr,laborer
prārthanā,Prayer
chiṛkāv,Spraying
samudāy,community
śoth,Euphoria
lorik,Lorik
bauddh,Buddhist
bāg,Garden
bacā,Left out
pahāṛī,Hill
protsāhan,Incentive
prabal,Predominant
padārthõ,Substances
pūñjī,capital
jagat,Universe
ghol,Slurry
ektā,Unity
socne,Thinking
sāmānyataḥ,Generally
svatantratā,Freedom
vittīya,financial
mānkar,Assuming
bhautik,Physical
pāṭhyakram,Syllabus
pariṇāmasvarūp,the resulting
parvat,Mountain
talāś,seek
god,Lap
gāndhījī,Gandhiji
kā,Of
antarrāṣṭrīya,International
sahan,Tolerate
śer,Lion
vaisā,Like this
vastra,Clothes
lakṣmī,Laxmi
rūk,Stroke
mukti,Freedom
proṭīn,Protein
calkar,By walking
gambhīr,Serious
ādhī,Half
aṅkan,Marking
hindī,Hindi
śānt,Calm
śānti,Calmness
vargõ,Classes
vŕkṣõ,Trees
rogõ,Diseases
bambaī,Bombay
prathā,custom
cījõ,Things
ataev,So
saktī,Can
mahilāõ,Women
bāhya,External
prerit,Inspired
nihit,vested
dikhāyā,Shown
ḍālne,Pouring
ḍeṛh,One and a half
gair,Non
sampatti,Property
śraddhā,Admiration
vārtā,Dialogue
laṛkõ,Boys
mānne,To accept
mujh,Me
namak,Salt
chavi,image
cācā,Uncle
calo,Let us go
karegā,Will do
himācal,Himachal
smitā,Smita
sthal,Site
rakhtī,Keeps
rakam,Amount
pahuñcne,Reach
nānā,Grandfather
darvājā,Door
dukān,Shop
ṭhos,Solid
jeb,Pocket
cintan,Thinking
garmī,Heat
kharīd,Purchase
krānti,Revolution
ŕtu,Season
sunāī,Hearing
vidyālyõ,Schools
likhne,Write
lakhnaū,Lucknow
rāg,melody
baras,Year
braj,Braj
paścāt,After
ḍālī,branch
gŕh,home
akālī,Akali
sāvdhānī,Caution
sevan,Consumption
svatantratā,Independence
śūnya,Zero
vidyārthiyõ,students
moṭī,fat
bhraṣṭācār,Corruption
deh,Body
tere,Your
kārravāī,Action
kāryavāhī,Proceeding
islām,Islam
āśram,Hermitage
ākarṣaṇ,Attraction
hisse,Part
samrāṭ,King
pareśān,Worried
paramparāgat,Traditional
disambar,December
jansaṅkhyā,population
ghoṣit,Declared
ŕṣi,Sage
akhbār,Newspaper
rūpõ,Forms
bhasma,Ash
bagal,Next
paristhiti,Situation.
nigam,Corporation
nārāyaṇ,Narayan
turant,Immediately
ḍholā,Dhola
ḍālkar,By putting
cāval,Rice
gaṇeś,Ganesh
kāryakramõ,Programs
uṭhī,Got up
īśvar,God
ātaṅkvādī,Terrorist
ā̃kh,eye
adālat,court
hoṭal,hotel
hār,Garland
hajārõ,Thousands
sandeh,Doubt
saṅkṣipt,Short
vidvān,Scholar
vrat,Fast
mahatva,Importance
bhayaṅkar,Terrifying
behtar,better
briṭiś,British
priya,Dear
niyukt,Appointed
gambhīr,Serious
ukt,Deepent
amal,Execution
havāī,Airport
hare,Green
svarṇamandir,Golden Temple
lī,Took
māmlā,Case
machlī,fish
bacpan,Childhood
ba͠ikõ,Banks
pān,Paan
prāṇ,Life
pratikriyā,feedback
jīvāṇu,Bacteria
chātī,Chest
gaṛhvāl,Garhwal
khulā,open
kār,car
kriyāõ,Actions
ammā,Mother
aṅgõ,Organs
sandeh,Doubt
vivād,Controversy
laṛkiyõ,Girls
bāhrī,external
bārī,Turn
pleg,plague
puruṣ,Male
dophar,Afternoon
tamil,Tamil
caudhrī,Chowdhary
ācraṇ,Behaviour
anāj,Cereal
hī,Sole
sire,Tip
sāṛhe,Half -and -a -half
sañyog,coincidence
vimarś,Discourse
vidhiyõ,Methods
vyāvhārik,practical
vacan,Promise
rātri,Night
bhāvõ,Gestures
bhẽṭ,Gift
buāī,Sowing
pairõ,Legs
purānā,Old
pratīkṣā,Wait
patrõ,Papers
paṛegā,Will have
jāo,Go
kismõ,Varieties
kin,Kin
uṭhe,Got up
ācārya,Teacher
āī,I
aphrīkā,Africa
atīt,past
halke,Mild
sāgar,Sea
śāh,Shah
śānti,Peace
videś,Foreign
vajan,Weight
lākhõ,Millions
prārambh,Start
prāṇiyõ,Creatures
nirdeś,Instruction
dāvā,Claim
de,Give
cāhā,Wanted
udās,Downhearted
uttarī,Northern
aslī,Real
himmat,Courage
harī,Green
sneh,affection
śāsak,ruler
badle,Change
bacāne,Save
pratinidhi,Representative
daraasal,In fact
dekhbhāl,Care
tane,Stem
jāntī,Knowing
kendra,Center
auṣdhi,Medicine
utsav,Celebration
inse,from these
sāthiyõ,Peer
sansādhan,resources
sadan,House
sūkhe,Dried
saṅkalp,Resolution
śaktiśālī,Powerful
vyarth,Useless
miśraṇ,Mixture
boron,Boron
nikālne,Delete
ghūm,Wander
gussā,Anger
kṣati,Damage
uṭhtī,Raising
arab,Arab
atyant,Extremely
akṣar,Letter
sansthānõ,Institutions
supar,Super
saṅgaṭhnõ,Organizations
viśeṣkar,Especially
ved,Veda
mahārājā,King
bharat,Bharat
bojh,Burden
bādal,Cloud
bayān,Statement
pattiyā̃,Leaves
caṛh,Climbing
ummīd,Hope
upekṣā,Ignore
siddhāntõ,Principles
sva,Self
sunte,Hearing
sakte,Can
rabaṛ,rubber
mel,Match
mekaap,Makeup
bhūt,Evil spirit
bante,Bun
praśansā,Appreciation
pratidin,daily
pūch,Ask
dabāv,Pressure
daṇḍ,Punishment
ṭukṛe,pieces
gahrāī,depth
khī̃c,Stretch
urvarak,Fertilizer
hinsā,violence
sādhnā,meditation
sevāõ,Services
sarvathā,Utterly
lekhan,Writing
pareśānī,Trouble
pratāp,Pratap
peṛõ,Trees
ceṣṭā,effort
vyākraṇ,grammar
lāisẽs,License
lalit,Lalit
rūs,Russia
mīl,Mile
barph,Ice
pāp,Sin
putrī,Daughter
daphtar,Workplace
jānvar,Animal
gāne,Songs
kāryakartā,Worker
kalākārõ,Artists
kartā,Do
utpād,product
āẽ,Come
socte,Thinking
sīkh,Learn
sās,Mother in law
vīṇā,Veena
yūreniyam,Uranium
maulik,fundamental
mārne,Kill
muhammad,Muhammad
bil,Bill
bacat,Savings
prāvdhān,Provision
pacās,fifty
nāgrik,citizen
nehrū,Nehru
den,Din
girne,Fall
gahre,Deep
upanyās,Novel
ilāke,the areas
āntarik,Internal
hindustān,Hindustan
sansad,Parliament
svīkŕti,Acceptance
sampark,Contact
vibhājan,Division
lauṭne,Return
yūrop,Europe
mañc,stage
bhāgya,Luck
behad,Extremely
bulāyā,called
pāe,Found
prayogśālā,the laboratory
pramāṇit,Certified
prabhāvśālī,Impressive
jīt,Victory
jānavrõ,Animals
gusse,Anger
gardan,Neck
gurū,Guru
adhiktam,Maximum
sŕṣṭi,Nature
śikṣit,Educated
śahad,Honey
varan,Varan
